"Date","SP500","Bitcoin"
2020-02-29,-8.78595369083879,-8.37278669124739
2020-03-31,-13.3667724670374,-28.9387042628324
2020-04-30,11.9420838760177,29.6229659203078
2020-05-31,4.42865329490969,8.86365782388783
2020-06-30,1.82213743567186,-3.47434838282332
2020-07-31,5.36368016345055,21.443648496699
2020-08-31,6.77190830043575,3.10709271387921
2020-09-30,-4.00181199831771,-7.98391040602624
2020-10-31,-2.80556922855553,24.5181374469887
2020-11-30,10.21464279066,35.3556380724582
2020-12-31,3.6449047840593,39.0508304514055
2021-01-31,-1.11991376508893,13.2611843470272
2021-02-28,2.57568766725367,30.9752351636291
2021-03-31,4.15628072825474,26.6441410515528
2021-04-30,5.10973304680551,-2.00343752104164
2021-05-31,0.547149271672431,-43.625261062757
2021-06-30,2.19708725661221,-6.33596601534308
2021-07-31,2.24931759222518,17.2215541657083
2021-08-31,2.85781431597929,12.4958206006676
2021-09-30,-4.87377927828341,-7.42619617547646
2021-10-31,6.68581752839899,33.6663136879734
2021-11-30,-0.836862565520491,-7.29425927870793
2021-12-31,4.26886481613966,-20.786529343199
2022-01-31,-5.40182299992846,-18.5061325498317
2022-02-28,-3.18627610217117,11.5464037776578
2022-03-31,3.51482862715233,5.28781107718714
2022-04-30,-9.20678249074225,-18.8507403098296
2022-05-31,0.0053176290760959,-17.0830125124802
2022-06-30,-8.76515818048187,-47.4314199547029
2022-07-31,8.72013846897168,16.5125393898913
2022-08-31,-4.3367030663406,-15.1818281451808
2022-09-30,-9.80491666209922,-3.1307030264843
2022-10-31,7.68345644688555,5.33083546277737
2022-11-30,5.23579760976496,-17.7138513786668
2022-12-31,-6.07818253766688,-3.68453803724087
2023-01-31,5.99211818343495,33.5296947808947
2023-02-28,-2.64594788597936,0.0348710260839269
2023-03-31,3.44512926982645,20.7268412939898
2023-04-30,1.45361776495623,2.73734611812113
2023-05-31,0.247927143327153,-7.25828888230957
2023-06-30,6.27188649146433,11.3041127419805
2023-07-31,3.06639509077034,-4.17811799257883
2023-08-31,-1.78752038429941,-11.974199634134
2023-09-30,-4.99461679232827,3.91904722350311
2023-10-31,-2.22248410014032,25.1162897695153
2023-11-30,8.54244482007527,8.41873685872052
2023-12-31,4.32790354316079,11.3965626679928
2024-01-31,1.57706938864273,0.748209089339191
2024-02-29,5.04275283127704,36.2674916977541
2024-03-31,3.0547420111743,15.3247379155326
2024-04-30,-4.25057776814786,-16.2465259428973
2024-05-31,4.69038053043604,10.7097506450778
2024-06-30,3.40823432388824,-7.39852076628456
2024-07-31,1.12577104024094,3.04971709640878
2024-08-31,2.25778971175146,-9.14852362782721
2024-09-30,1.99956322877544,7.13241376079043
2024-10-31,-0.994604159854973,10.3213378441362
2024-11-30,5.57197140294967,31.7450304454823
2024-12-31,-2.53076921877451,-3.18109745851949
2025-01-31,2.6657806419669,9.17318047532021
2025-02-28,-1.43444846484826,-19.3688230606153
2025-03-31,-5.92667853801778,-2.18565224293421
2025-04-30,-0.765416184784762,13.210679058451
2025-05-31,5.97054476377537,10.5009864364002
2025-06-30,4.84156554476201,2.35851867723813
2025-07-31,2.14351787924638,7.74107026912976
2025-08-31,1.88869575073873,-6.71829631411196
2025-09-30,3.47141190980818,5.23697126744072
2025-10-31,2.24333520454962,-4.02529777449576
2025-11-30,0.12987743939572,-19.2255980978112
2025-12-31,-0.0524271828975742,-3.24416694645322
2026-01-31,1.35704622442905,-10.7099351272957
