reboundb,rebounda
528.2600098,528
507.2000122,497
534.9699707,523
532.2399902,511
540.5200195,523
532.7700195,525
503.269989,506
565.0200195,553
556.710022,539
534.1699829,519
565.8200073,567
524.4899902,507
615.7000122,595
537.2000122,523
515.0700073,509
609.6900024,596
524.6400146,524
512.210022,502
528.4500122,518
568.3900146,564
551.2399902,548
559.0100098,561
527.2299805,517
560.0800171,553
535.9000244,520
590.2199707,588
610.210022,598
556.960022,544
510.6400146,519
532.7700195,533
518.9299927,494
514.1599731,511
573.0499878,561
510.2099915,500
568.7299805,555
