"Date","SP500","Gold"
2020-02-29,-8.78595369083879,-0.638205066211484
2020-03-31,-13.3667724670374,-0.222650850824202
2020-04-30,11.9420838760177,7.00954928700321
2020-05-31,4.42865329490969,2.55523555267647
2020-06-30,1.82213743567186,2.70089777943667
2020-07-31,5.36368016345055,10.2470511488942
2020-08-31,6.77190830043575,-0.324091923944181
2020-09-30,-4.00181199831771,-4.26090522087801
2020-10-31,-2.80556922855553,-0.520774521027789
2020-11-30,10.21464279066,-5.5603897614251
2020-12-31,3.6449047840593,6.77881846133204
2021-01-31,-1.11991376508893,-3.27692652466833
2021-02-28,2.57568766725367,-6.46119256110014
2021-03-31,4.15628072825474,-1.1498966372832
2021-04-30,5.10973304680551,3.50136913255152
2021-05-31,0.547149271672431,7.39786163348599
2021-06-30,2.19708725661221,-7.41597191668504
2021-07-31,2.24931759222518,2.49826812562182
2021-08-31,2.85781431597929,-0.0765838328338653
2021-09-30,-4.87377927828341,-3.27662576582011
2021-10-31,6.68581752839899,1.46887684150085
2021-11-30,-0.836862565520491,-0.692457331187413
2021-12-31,4.26886481613966,3.24584554653411
2022-01-31,-5.40182299992846,-1.6930121823755
2022-02-28,-3.18627610217117,5.94166051524514
2022-03-31,3.51482862715233,1.26452901960796
2022-04-30,-9.20678249074225,-2.09202744263033
2022-05-31,0.0053176290760959,-3.31592179574098
2022-06-30,-8.76515818048187,-1.57835586819344
2022-07-31,8.72013846897168,-2.62223374516628
2022-08-31,-4.3367030663406,-2.98751332009637
2022-09-30,-9.80491666209922,-2.93070988773732
2022-10-31,7.68345644688555,-1.80055388849176
2022-11-30,5.23579760976496,8.15050161059592
2022-12-31,-6.07818253766688,2.88852605758381
2023-01-31,5.99211818343495,5.59951688347837
2023-02-28,-2.64594788597936,-5.51702357233399
2023-03-31,3.44512926982645,7.61841491296513
2023-04-30,1.45361776495623,0.858655247186224
2023-05-31,0.247927143327153,-1.3510750611669
2023-06-30,6.27188649146433,-2.24641461797495
2023-07-31,3.06639509077034,2.26286717961148
2023-08-31,-1.78752038429941,-1.2859971163925
2023-09-30,-4.99461679232827,-4.87763184529619
2023-10-31,-2.22248410014032,7.11330874561984
2023-11-30,8.54244482007527,2.49986395637016
2023-12-31,4.32790354316079,1.2739686833644
2024-01-31,1.57706938864273,-1.43303714436263
2024-02-29,5.04275283127704,0.455316660632565
2024-03-31,3.0547420111743,8.31301567150469
2024-04-30,-4.25057776814786,2.94568291494084
2024-05-31,4.69038053043604,1.60595625548288
2024-06-30,3.40823432388824,-0.134790541923646
2024-07-31,1.12577104024094,5.22811714581932
2024-08-31,2.25778971175146,2.07066207957709
2024-09-30,1.99956322877544,4.96360110187055
2024-10-31,-0.994604159854973,4.20949319183253
2024-11-30,5.57197140294967,-3.17397843963301
2024-12-31,-2.53076921877451,-1.41886717497215
2025-01-31,2.6657806419669,6.5652973719942
2025-02-28,-1.43444846484826,1.80523139168773
2025-03-31,-5.92667853801778,9.02664441639551
2025-04-30,-0.765416184784762,5.28242759707176
2025-05-31,5.97054476377537,-0.0559734316679439
2025-06-30,4.84156554476201,0.404313449070681
2025-07-31,2.14351787924638,-0.615344472723489
2025-08-31,1.88869575073873,4.86707519805272
2025-09-30,3.47141190980818,11.1169353561532
2025-10-31,2.24333520454962,3.4968097775657
2025-11-30,0.12987743939572,5.22870673183373
2025-12-31,-0.0524271828975742,2.15007011019139
2026-01-31,1.35704622442905,11.5765216610764
